parameter,region,initial_age_min_days,initial_age_max_days,configured_weight,baseline_effective_weight,fitted_weight,fitted_sampling_probability,fitted_to_configured_ratio,unobserved_in_calibration_window
demo_north_america_age_20000_24000,north_america,20000,24000,0.002,0.002,0.003047071423302715,0.0022927550212962495,1.5235357116513575,False
demo_north_america_age_24000_28000,north_america,24000,28000,0.001,0.001,0.0012495793104526749,0.0009402402636965201,1.249579310452675,False
demo_north_america_age_28000_32000,north_america,28000,32000,0.001,0.001,0.0012039199268150823,0.0009058840683333954,1.2039199268150822,False
demo_south_america_age_neg40000_neg36000,south_america,-40000,-36000,0.01,0.01,0.008050690915894509,0.006057705730545155,0.8050690915894508,True
demo_south_america_age_neg36000_neg32000,south_america,-36000,-32000,0.009,0.009,0.004600111073416595,0.0034613326361298694,0.511123452601844,False
demo_south_america_age_neg32000_neg28000,south_america,-32000,-28000,0.008,0.008,0.005144012865275397,0.00387058906341264,0.6430016081594246,False
demo_south_america_age_neg28000_neg24000,south_america,-28000,-24000,0.007,0.007,0.006133909204075854,0.004615432057242931,0.8762727434394078,False
demo_south_america_age_neg24000_neg20000,south_america,-24000,-20000,0.006,0.006,0.005417497466025652,0.0040763713062646,0.9029162443376088,False
demo_south_america_age_neg20000_neg16000,south_america,-20000,-16000,0.005,0.005,0.00449856049651682,0.003384921366829813,0.899712099303364,False
demo_south_america_age_neg16000_neg12000,south_america,-16000,-12000,0.004,0.004,0.0036547875045953282,0.0027500282201620234,0.913696876148832,False
demo_south_america_age_neg12000_neg8000,south_america,-12000,-8000,0.004,0.004,0.003730001492279868,0.0028066226427989984,0.932500373069967,False
demo_south_america_age_neg8000_neg4000,south_america,-8000,-4000,0.003,0.003,0.0030761874178570027,0.002314663218854028,1.0253958059523343,False
demo_south_america_age_neg4000_0,south_america,-4000,0,0.002,0.0,0.0022963267700583487,0.0017278606245736262,1.1481633850291744,False
demo_south_america_age_0_4000,south_america,0,4000,0.002,0.002,0.00233099004925295,0.0017539428512061328,1.165495024626475,False
demo_south_america_age_4000_8000,south_america,4000,8000,0.002,0.002,0.0022934345953830562,0.0017256844209052344,1.146717297691528,False
demo_south_america_age_8000_12000,south_america,8000,12000,0.001,0.001,0.0010167192347180433,0.0007650257597577452,1.0167192347180434,False
demo_south_america_age_12000_16000,south_america,12000,16000,0.001,0.001,0.0009944150591468118,0.0007482430843843581,0.9944150591468118,False
demo_south_america_age_16000_20000,south_america,16000,20000,0.001,0.001,0.0009905882634902248,0.0007453636294132618,0.9905882634902248,False
demo_south_america_age_20000_24000,south_america,20000,24000,0.001,0.001,0.0009899317473509388,0.0007448696368329113,0.9899317473509388,False
demo_south_america_age_24000_28000,south_america,24000,28000,0.001,0.001,0.0009898191867034234,0.0007447849410860975,0.9898191867034234,False
demo_south_america_age_28000_32000,south_america,28000,32000,0.001,0.001,0.0009898004281690233,0.0007447708263122826,0.9898004281690234,False
demo_oceania_age_neg40000_neg36000,oceania,-40000,-36000,0.004,0.004,0.0032202763663578037,0.002423082292218062,0.805069091589451,True
demo_oceania_age_neg36000_neg32000,oceania,-36000,-32000,0.004,0.004,0.0024843747096357878,0.0018693564406589828,0.6210936774089469,False
demo_oceania_age_neg32000_neg28000,oceania,-32000,-28000,0.003,0.003,0.0025022462454630276,0.001882803796435687,0.8340820818210092,False
demo_oceania_age_neg28000_neg24000,oceania,-28000,-24000,0.003,0.003,0.0023680570064943548,0.0017818337144427051,0.7893523354981182,False
demo_oceania_age_neg24000_neg20000,oceania,-24000,-20000,0.003,0.003,0.0023526208948022264,0.0017702188824696965,0.7842069649340755,False
demo_oceania_age_neg20000_neg16000,oceania,-20000,-16000,0.003,0.003,0.0023941936586617824,0.0018015001193843363,0.7980645528872607,False
demo_oceania_age_neg16000_neg12000,oceania,-16000,-12000,0.002,0.002,0.0017183055843725391,0.0012929312147272683,0.8591527921862695,False
demo_oceania_age_neg12000_neg8000,oceania,-12000,-8000,0.002,0.002,0.0017578275975210027,0.0013226693736049684,0.8789137987605014,False
demo_oceania_age_neg8000_neg4000,oceania,-8000,-4000,0.002,0.002,0.0018467659915946757,0.0013895906633519008,0.9233829957973378,False
demo_oceania_age_neg4000_0,oceania,-4000,0,0.001,0.0,0.0009530910207903649,0.0007171489998422611,0.9530910207903648,False
demo_oceania_age_0_4000,oceania,0,4000,0.002,0.002,0.0020962235769858193,0.0015772938878749585,1.0481117884929096,False
demo_oceania_age_4000_8000,oceania,4000,8000,0.002,0.002,0.002123508255517241,0.0015978241200280223,1.0617541277586204,False
demo_oceania_age_8000_12000,oceania,8000,12000,0.002,0.002,0.0020971761069716803,0.0015780106147266222,1.04858805348584,False
demo_oceania_age_12000_16000,oceania,12000,16000,0.001,0.001,0.0009559488449532802,0.0007192993566239882,0.9559488449532801,False
demo_oceania_age_16000_20000,oceania,16000,20000,0.001,0.001,0.0009400545021105781,0.0007073397307077339,0.9400545021105781,False
demo_oceania_age_20000_24000,oceania,20000,24000,0.001,0.001,0.0009373276059602307,0.0007052878901130405,0.9373276059602307,False
demo_oceania_age_24000_28000,oceania,24000,28000,0.001,0.001,0.0009368601649829081,0.0007049361662775834,0.936860164982908,False
demo_oceania_age_28000_32000,oceania,28000,32000,0.001,0.001,0.0009367822077951943,0.0007048775077465722,0.9367822077951943,False
