bacteria,drug,resistance_representable,maximum_any_r,positive_effect_mechanisms
citrobacter_spp.,piperacillin_tazobactam,true,0.999919,enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;mutation_pbp_mosaic
citrobacter_spp.,ampicillin_sulbactam,true,0.999919,enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;mutation_pbp_mosaic
citrobacter_spp.,ticarcillin_clavulanate,true,0.999919,enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;mutation_pbp_mosaic
citrobacter_spp.,ceftazidime_avibactam,true,0.7322500000000001,enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;mutation_pbp_mosaic
citrobacter_spp.,meropenem_vaborbactam,true,0.7025,enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48
citrobacter_spp.,colistin,true,0.985,modification_mcr_1;mutation_polymyxin_regulatory
citrobacter_spp.,flucloxacillin,false,0,
citrobacter_spp.,aztreonam_avibactam,true,0.8512500000000001,enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;mutation_pbp_mosaic
citrobacter_spp.,cefixime,true,0.999999726671875,enzyme_esbl_ctx_m;enzyme_esbl_tem;enzyme_esbl_shv;enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;mutation_pbp_mosaic
citrobacter_spp.,nalidixic_acid,true,0.4,mutation_gyra_primary
enterobacter_spp.,sulfanilamide,true,0.85,mutation_folate_pathway
enterobacter_spp.,penicillin_g,false,0,
enterobacter_spp.,ampicillin,false,0,
enterobacter_spp.,amoxicillin,false,0,
enterobacter_spp.,piperacillin,true,0.99999999919,enzyme_esbl_ctx_m;enzyme_esbl_tem;enzyme_esbl_shv;enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;enzyme_narrow_spectrum_gram_negative_penicillinase;mutation_pbp_mosaic
enterobacter_spp.,ticarcillin,true,0.99999999919,enzyme_esbl_ctx_m;enzyme_esbl_tem;enzyme_esbl_shv;enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;enzyme_narrow_spectrum_gram_negative_penicillinase;mutation_pbp_mosaic
enterobacter_spp.,cephalexin,false,0,
enterobacter_spp.,cefazolin,false,0,
enterobacter_spp.,cefuroxime,true,0.9999999865,enzyme_esbl_ctx_m;enzyme_esbl_tem;enzyme_esbl_shv;enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;mutation_pbp_mosaic
enterobacter_spp.,ceftriaxone,true,0.999999726671875,enzyme_esbl_ctx_m;enzyme_esbl_tem;enzyme_esbl_shv;enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;mutation_pbp_mosaic
enterobacter_spp.,ceftazidime,true,0.999999726671875,enzyme_esbl_ctx_m;enzyme_esbl_tem;enzyme_esbl_shv;enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;mutation_pbp_mosaic
enterobacter_spp.,cefepime,true,0.9977366423125,enzyme_esbl_ctx_m;enzyme_esbl_tem;enzyme_esbl_shv;enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;mutation_pbp_mosaic
enterobacter_spp.,ceftaroline,false,0,
enterobacter_spp.,ceftolozane_tazobactam,true,0.9999825,enzyme_kpc;enzyme_ndm_vim;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;mutation_pbp_mosaic
enterobacter_spp.,cefiderocol,true,0.6,mutation_siderophore_uptake
enterobacter_spp.,meropenem,true,0.9984999999999999,enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48
enterobacter_spp.,imipenem_c,true,0.9984999999999999,enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48
enterobacter_spp.,ertapenem,true,0.9984999999999999,enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48
enterobacter_spp.,aztreonam,true,0.9986878,enzyme_esbl_ctx_m;enzyme_esbl_tem;enzyme_esbl_shv;enzyme_kpc;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;mutation_pbp_mosaic
enterobacter_spp.,erythromycin,false,0,
enterobacter_spp.,azithromycin,false,0,
enterobacter_spp.,clarithromycin,false,0,
enterobacter_spp.,clindamycin,false,0,
enterobacter_spp.,gentamicin,true,0.99475,enzyme_16s_rrmt;efflux_mexxy_oprm;enzyme_aac_aph
enterobacter_spp.,tobramycin,true,0.99475,enzyme_16s_rrmt;efflux_mexxy_oprm;enzyme_aac_aph
enterobacter_spp.,amikacin,true,0.99475,enzyme_16s_rrmt;efflux_mexxy_oprm;enzyme_aac_aph
enterobacter_spp.,ciprofloxacin,true,0.98776,mutation_gyra_primary;mutation_gyra_parc_secondary;protection_qnr;efflux_acrab_tolc;efflux_mexxy_oprm;global_efflux_pump
enterobacter_spp.,levofloxacin,true,0.96,mutation_gyra_parc_secondary;protection_qnr
enterobacter_spp.,moxifloxacin,true,0.96,mutation_gyra_parc_secondary;protection_qnr
enterobacter_spp.,ofloxacin,true,0.976,mutation_gyra_primary;mutation_gyra_parc_secondary;protection_qnr
enterobacter_spp.,tetracycline,true,0.9866125,efflux_acrab_tolc;efflux_mexxy_oprm;global_efflux_pump;protection_tet_m;efflux_tet_abc
enterobacter_spp.,doxycycline,true,0.9866125,efflux_acrab_tolc;efflux_mexxy_oprm;global_efflux_pump;protection_tet_m;efflux_tet_abc
enterobacter_spp.,minocycline,true,0.955375,efflux_acrab_tolc;efflux_mexxy_oprm;global_efflux_pump;protection_tet_m
enterobacter_spp.,tigecycline,true,0.36250000000000004,efflux_acrab_tolc;global_efflux_pump
enterobacter_spp.,vancomycin,false,0,
enterobacter_spp.,teicoplanin,false,0,
enterobacter_spp.,dalbavancin,false,0,
enterobacter_spp.,linezolid,false,0,
enterobacter_spp.,tedizolid,false,0,
enterobacter_spp.,daptomycin,false,0,
enterobacter_spp.,quinu_dalfo,false,0,
enterobacter_spp.,trim_sulf,true,0.85,mutation_folate_pathway
enterobacter_spp.,chloramphenicol,true,0.9524,enzyme_cat;efflux_acrab_tolc;efflux_mexxy_oprm;global_efflux_pump
enterobacter_spp.,nitrofurantoin,true,0.7,mutation_nitroreductase
enterobacter_spp.,fosfomycin,true,0.8,enzyme_fos
enterobacter_spp.,retapamulin,false,0,
enterobacter_spp.,fusidic_a,false,0,
enterobacter_spp.,metronidazole,false,0,
enterobacter_spp.,fidaxomicin,false,0,
enterobacter_spp.,furazolidone,false,0,
enterobacter_spp.,rifampicin,true,0.95,mutation_rpo_b
enterobacter_spp.,amoxicillin_clavulanate,true,0.999919,enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;mutation_pbp_mosaic
enterobacter_spp.,piperacillin_tazobactam,true,0.999919,enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;mutation_pbp_mosaic
enterobacter_spp.,ampicillin_sulbactam,true,0.999919,enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;mutation_pbp_mosaic
enterobacter_spp.,ticarcillin_clavulanate,true,0.999919,enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;mutation_pbp_mosaic
enterobacter_spp.,ceftazidime_avibactam,true,0.7322500000000001,enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;mutation_pbp_mosaic
enterobacter_spp.,meropenem_vaborbactam,true,0.7025,enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48
enterobacter_spp.,colistin,true,0.985,modification_mcr_1;mutation_polymyxin_regulatory
enterobacter_spp.,flucloxacillin,false,0,
enterobacter_spp.,aztreonam_avibactam,true,0.8512500000000001,enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;mutation_pbp_mosaic
enterobacter_spp.,cefixime,true,0.999999726671875,enzyme_esbl_ctx_m;enzyme_esbl_tem;enzyme_esbl_shv;enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;mutation_pbp_mosaic
enterobacter_spp.,nalidixic_acid,true,0.4,mutation_gyra_primary
enterococcus_faecalis,sulfanilamide,false,0,
enterococcus_faecalis,penicillin_g,true,0.8,mutation_pbp_mosaic
enterococcus_faecalis,ampicillin,true,0.8,mutation_pbp_mosaic
enterococcus_faecalis,amoxicillin,true,0.8,mutation_pbp_mosaic
enterococcus_faecalis,piperacillin,true,0.8,mutation_pbp_mosaic
enterococcus_faecalis,ticarcillin,true,0.8,mutation_pbp_mosaic
enterococcus_faecalis,cephalexin,false,0,
enterococcus_faecalis,cefazolin,false,0,
enterococcus_faecalis,cefuroxime,false,0,
enterococcus_faecalis,ceftriaxone,false,0,
enterococcus_faecalis,ceftazidime,false,0,
enterococcus_faecalis,cefepime,false,0,
enterococcus_faecalis,ceftaroline,false,0,
enterococcus_faecalis,ceftolozane_tazobactam,false,0,
enterococcus_faecalis,cefiderocol,false,0,
enterococcus_faecalis,meropenem,false,0,
enterococcus_faecalis,imipenem_c,false,0,
enterococcus_faecalis,ertapenem,false,0,
enterococcus_faecalis,aztreonam,false,0,
enterococcus_faecalis,erythromycin,true,0.98,target_site_erm_b;mutation_23s_rrna
enterococcus_faecalis,azithromycin,true,0.98,target_site_erm_b;mutation_23s_rrna
enterococcus_faecalis,clarithromycin,true,0.98,target_site_erm_b;mutation_23s_rrna
enterococcus_faecalis,clindamycin,true,0.97,target_site_erm_b;target_site_cfr
enterococcus_faecalis,gentamicin,false,0,
enterococcus_faecalis,tobramycin,false,0,
enterococcus_faecalis,amikacin,false,0,
enterococcus_faecalis,ciprofloxacin,true,0.9744999999999999,mutation_gyra_primary;mutation_gyra_parc_secondary;global_efflux_pump
enterococcus_faecalis,levofloxacin,true,0.95,mutation_gyra_parc_secondary
enterococcus_faecalis,moxifloxacin,true,0.95,mutation_gyra_parc_secondary
enterococcus_faecalis,ofloxacin,true,0.97,mutation_gyra_primary;mutation_gyra_parc_secondary
enterococcus_faecalis,tetracycline,true,0.915,global_efflux_pump;protection_tet_m
enterococcus_faecalis,doxycycline,true,0.915,global_efflux_pump;protection_tet_m
enterococcus_faecalis,minocycline,true,0.915,global_efflux_pump;protection_tet_m
enterococcus_faecalis,tigecycline,true,0.15000000000000002,global_efflux_pump
enterococcus_faecalis,vancomycin,true,0.997,target_site_van_a;target_site_van_b
enterococcus_faecalis,teicoplanin,true,0.99,target_site_van_a
enterococcus_faecalis,dalbavancin,true,0.99,target_site_van_a
enterococcus_faecalis,linezolid,true,0.985,target_site_cfr;mutation_23s_rrna_oxazolidinone
enterococcus_faecalis,tedizolid,true,0.985,target_site_cfr;mutation_23s_rrna_oxazolidinone
enterococcus_faecalis,daptomycin,true,0.75,mutation_liafsr_cls
enterococcus_faecalis,quinu_dalfo,false,0,
enterococcus_faecalis,trim_sulf,false,0,
enterococcus_faecalis,chloramphenicol,true,0.9744999999999999,target_site_cfr;enzyme_cat;global_efflux_pump
enterococcus_faecalis,nitrofurantoin,true,0.7,mutation_nitroreductase
enterococcus_faecalis,fosfomycin,true,0.8,enzyme_fos
enterococcus_faecalis,retapamulin,false,0,
enterococcus_faecalis,fusidic_a,false,0,
enterococcus_faecalis,metronidazole,false,0,
enterococcus_faecalis,fidaxomicin,false,0,
enterococcus_faecalis,furazolidone,false,0,
enterococcus_faecalis,rifampicin,true,0.95,mutation_rpo_b
enterococcus_faecalis,amoxicillin_clavulanate,true,0.7,mutation_pbp_mosaic
enterococcus_faecalis,piperacillin_tazobactam,true,0.7,mutation_pbp_mosaic
enterococcus_faecalis,ampicillin_sulbactam,true,0.7,mutation_pbp_mosaic
enterococcus_faecalis,ticarcillin_clavulanate,true,0.7,mutation_pbp_mosaic
enterococcus_faecalis,ceftazidime_avibactam,false,0,
enterococcus_faecalis,meropenem_vaborbactam,false,0,
enterococcus_faecalis,colistin,false,0,
enterococcus_faecalis,flucloxacillin,false,0,
enterococcus_faecalis,aztreonam_avibactam,false,0,
enterococcus_faecalis,cefixime,false,0,
enterococcus_faecalis,nalidixic_acid,false,0,
enterococcus_faecium,sulfanilamide,false,0,
enterococcus_faecium,penicillin_g,false,0,
enterococcus_faecium,ampicillin,true,0.8,mutation_pbp_mosaic
enterococcus_faecium,amoxicillin,true,0.8,mutation_pbp_mosaic
enterococcus_faecium,piperacillin,false,0,
enterococcus_faecium,ticarcillin,false,0,
enterococcus_faecium,cephalexin,false,0,
enterococcus_faecium,cefazolin,false,0,
enterococcus_faecium,cefuroxime,false,0,
enterococcus_faecium,ceftriaxone,false,0,
enterococcus_faecium,ceftazidime,false,0,
enterococcus_faecium,cefepime,false,0,
enterococcus_faecium,ceftaroline,false,0,
enterococcus_faecium,ceftolozane_tazobactam,false,0,
enterococcus_faecium,cefiderocol,false,0,
enterococcus_faecium,meropenem,false,0,
enterococcus_faecium,imipenem_c,false,0,
enterococcus_faecium,ertapenem,false,0,
enterococcus_faecium,aztreonam,false,0,
enterococcus_faecium,erythromycin,true,0.98,target_site_erm_b;mutation_23s_rrna
enterococcus_faecium,azithromycin,true,0.98,target_site_erm_b;mutation_23s_rrna
