timestamp,population_size,time_steps,duration_seconds
2025-08-19 07:24:50 UTC,3000,1500,62.277
2025-08-19 07:31:13 UTC,3000,1500,109.849
2025-08-19 07:40:29 UTC,3000,1500,71.498
2025-08-19 07:43:44 UTC,3000,1500,110.691
2025-08-19 07:49:10 UTC,3000,1500,112.849
2025-08-19 07:52:05 UTC,3000,1500,110.994
2025-08-19 07:58:45 UTC,3000,1500,109.545
2025-08-19 08:05:51 UTC,3000,1500,112.741
2025-08-19 08:10:46 UTC,3000,1500,102.350
2025-08-19 08:16:06 UTC,3000,1500,98.870
2025-08-19 08:23:41 UTC,3000,3000,201.180
2025-08-19 09:52:34 UTC,3000,15000,735.185
2025-08-19 12:05:26 UTC,2000,8000,536.642
2025-08-19 12:11:01 UTC,2000,5000,196.590
2025-08-19 12:30:49 UTC,2000,8000,227.000
2025-08-19 12:55:59 UTC,2000,8000,508.312
2025-08-19 13:52:02 UTC,2000,8000,487.109
2025-08-19 14:04:31 UTC,2000,8000,366.576
2025-08-19 14:15:14 UTC,1000,8000,351.937
2025-08-19 14:26:36 UTC,1000,8000,289.470
2025-08-19 14:33:45 UTC,1000,2000,95.498
2025-08-19 14:40:16 UTC,1000,2000,244.637
2025-08-19 14:44:24 UTC,1000,2000,188.853
2025-08-19 15:07:26 UTC,1000,2000,47.651
2025-08-19 16:34:39 UTC,1000,2000,46.015
2025-08-19 16:43:51 UTC,1000,2000,47.966
2025-08-19 16:58:16 UTC,1000,2000,107.229
2025-08-19 17:20:15 UTC,1000,2000,44.825
2025-08-19 17:31:20 UTC,1000,10000,214.044
2025-08-20 05:52:02 UTC,1000,10000,347.428
2025-08-20 09:00:19 UTC,1000,1000,45.013
2025-08-20 09:55:13 UTC,1000,3000,77.999
2025-08-20 10:02:38 UTC,1000,3000,78.567
2025-08-20 12:23:35 UTC,1000,3000,129.764
2025-08-20 13:17:43 UTC,1000,3000,127.535
2025-08-20 13:38:49 UTC,2000,5000,372.129
2025-08-20 14:32:48 UTC,2000,5000,321.539
2025-08-20 15:04:16 UTC,2000,5000,374.245
2025-08-20 15:20:38 UTC,2000,5000,329.561
2025-08-20 15:38:56 UTC,2000,5000,316.456
2025-08-20 16:10:31 UTC,3000,10000,1574.810
2025-08-20 18:25:01 UTC,3000,1000,73.006
2025-08-21 06:28:31 UTC,10000,18000,4825.709
2025-08-21 08:15:36 UTC,2000,18000,1236.593
2025-08-21 10:19:30 UTC,2000,18000,1128.434
2025-08-21 11:27:58 UTC,2000,10000,681.827
2025-08-21 12:04:13 UTC,1000,3000,43.532
2025-08-21 12:07:08 UTC,1000,3000,79.363
2025-08-21 12:16:48 UTC,1000,3000,212.665
2025-08-21 12:30:06 UTC,2000,500,26.277
2025-08-21 12:57:23 UTC,2000,1000,43.189
2025-08-21 13:13:14 UTC,2000,1000,43.371
2025-08-21 13:53:05 UTC,2000,1000,78.295
2025-08-21 14:30:40 UTC,2000,18000,1835.218
2025-08-21 16:44:29 UTC,1000,3000,72.466
2025-08-21 16:49:18 UTC,1000,3000,71.081
2025-08-21 20:46:51 UTC,30000,18000,11101.891
2025-08-22 05:22:27 UTC,5000,10000,852.819
2025-08-22 06:19:27 UTC,10000,3500,675.540
2025-08-22 07:35:48 UTC,20000,3500,2245.176
2025-08-22 11:57:46 UTC,5000,1000,218.750
2025-08-22 12:15:45 UTC,5000,1000,106.579
2025-08-22 12:31:41 UTC,5000,1000,83.947
2025-08-22 12:42:00 UTC,5000,1000,85.164
2025-08-22 12:50:10 UTC,5000,1000,82.563
2025-08-22 12:55:58 UTC,5000,1000,90.154
2025-08-22 13:00:20 UTC,5000,1000,88.417
2025-08-22 13:38:37 UTC,30000,3500,2026.969
2025-08-23 09:08:45 UTC,1000,500,11.160
2025-08-23 09:28:41 UTC,10000,3500,636.755
2025-08-23 10:56:09 UTC,30000,3500,2568.557
2025-08-23 12:07:31 UTC,30000,3500,2668.248
2025-08-23 13:39:06 UTC,3000,3500,228.673
2025-08-23 13:46:02 UTC,3000,3500,194.368
2025-08-23 14:26:47 UTC,30000,3500,1773.122
2025-08-23 15:57:54 UTC,3000,3500,262.893
2025-08-23 16:15:11 UTC,3000,3500,198.452
2025-08-23 16:22:11 UTC,3000,3500,202.060
2025-08-23 17:35:46 UTC,3000,3500,196.753
2025-08-23 17:46:27 UTC,3000,3500,287.246
2025-08-23 17:57:41 UTC,3000,3500,332.908
2025-08-23 18:04:42 UTC,3000,3500,198.996
2025-08-23 18:13:35 UTC,3000,3500,203.951
2025-08-24 07:25:59 UTC,3000,1800,154.418
2025-08-24 07:34:27 UTC,3000,1800,316.598
2025-08-24 07:44:38 UTC,3000,1800,115.907
2025-08-24 07:53:24 UTC,3000,1800,124.202
2025-08-24 08:02:02 UTC,3000,1800,118.030
2025-08-24 08:32:59 UTC,10000,3500,1001.180
2025-08-24 14:21:46 UTC,30000,35000,20240.899
2025-08-25 08:54:37 UTC,3000,1000,58.082
2025-08-25 09:20:16 UTC,3000,1000,53.155
2025-08-25 09:43:25 UTC,1000,3000,79.401
2025-08-25 10:16:56 UTC,1000,3000,68.576
2025-08-25 11:54:51 UTC,2000,18000,1024.136
2025-08-25 12:10:11 UTC,2000,3000,141.509
2025-08-25 12:29:07 UTC,2000,3000,93.295
2025-08-25 12:33:39 UTC,2000,3000,130.074
2025-08-25 12:57:08 UTC,2000,3000,142.698
2025-08-25 14:05:03 UTC,3000,38325,3857.150
2025-08-25 16:28:14 UTC,3000,3325,263.111
2025-08-26 06:57:16 UTC,50000,38325,51869.831
2025-08-26 08:32:53 UTC,500,4000,107.682
2025-08-26 10:09:19 UTC,500,4000,49.751
2025-08-26 11:28:07 UTC,2000,38325,4085.362
2025-08-26 12:10:28 UTC,2000,3000,76.478
2025-08-26 12:45:46 UTC,2000,10000,754.717
2025-08-26 13:55:07 UTC,3000,38325,3789.728
2025-08-26 16:32:48 UTC,2000,3000,110.931
2025-08-26 17:00:25 UTC,2000,25000,1277.774
2025-08-26 22:24:51 UTC,30000,38325,19063.356
2025-08-27 12:05:51 UTC,3000,38325,2637.008
2025-08-27 14:30:08 UTC,3000,4000,139.414
2025-08-27 14:36:49 UTC,3000,4000,104.337
2025-08-27 16:46:57 UTC,3000,38325,5004.177
2025-08-27 23:19:42 UTC,30000,38325,19691.309
2025-08-28 07:48:38 UTC,3000,3000,74.449
2025-08-28 08:02:31 UTC,3000,3000,64.451
2025-08-28 08:33:38 UTC,3000,3000,76.930
2025-08-28 08:39:06 UTC,3000,3000,101.009
2025-08-28 08:50:54 UTC,3000,500,16.273
2025-08-28 08:53:00 UTC,3000,500,21.675
2025-08-28 09:03:04 UTC,3000,500,25.152
2025-08-28 09:09:45 UTC,3000,500,24.047
2025-08-28 09:22:52 UTC,3000,500,25.207
2025-08-28 09:23:28 UTC,3000,500,23.480
2025-08-28 09:26:16 UTC,3000,500,23.335
2025-08-28 09:29:29 UTC,3000,500,22.358
2025-08-28 09:41:24 UTC,10000,500,45.804
2025-08-28 09:55:36 UTC,10000,5000,337.253
2025-08-28 10:39:00 UTC,10000,5000,2246.420
2025-08-28 13:17:13 UTC,2000,5000,94.484
2025-08-28 13:24:51 UTC,2000,5000,94.985
2025-08-28 14:18:14 UTC,2000,3000,121.957
2025-08-28 14:24:44 UTC,500,3000,73.509
2025-08-28 14:28:53 UTC,500,3000,71.420
2025-08-28 14:34:58 UTC,500,3000,68.645
2025-08-28 14:37:20 UTC,500,3000,53.218
2025-08-28 14:43:15 UTC,500,3000,34.594
2025-08-28 14:44:49 UTC,500,3000,34.504
2025-08-28 14:57:03 UTC,1000,3000,41.134
2025-08-28 15:01:26 UTC,2000,3000,122.371
2025-08-28 15:17:24 UTC,3000,3000,121.746
2025-08-28 22:47:23 UTC,30000,38325,18920.088
2025-08-29 15:25:52 UTC,10000,1000,49.585
2025-08-29 15:49:34 UTC,10000,100,30.249
2025-08-29 15:53:38 UTC,10000,100,31.111
2025-08-29 16:04:40 UTC,10000,1000,620.221
2025-08-29 16:23:53 UTC,3000,1000,21.888
2025-08-29 16:37:21 UTC,3000,1000,23.655
2025-08-29 16:43:26 UTC,3000,1000,19.180
2025-08-29 16:45:22 UTC,3000,1000,19.905
2025-08-29 16:50:05 UTC,3000,3000,62.226
2025-08-29 16:58:31 UTC,3000,5000,118.180
2025-08-29 23:00:42 UTC,30000,38325,19401.570
2025-08-30 10:46:16 UTC,3000,5000,174.628
2025-08-30 10:52:46 UTC,3000,5000,182.831
2025-08-30 11:14:30 UTC,30000,500,51.688
2025-08-30 11:21:09 UTC,30000,500,64.105
2025-08-30 11:49:19 UTC,10000,3000,349.139
2025-08-30 12:14:46 UTC,10000,3000,201.147
2025-08-30 17:30:34 UTC,10000,38325,10881.727
2025-08-31 01:41:58 UTC,40000,38325,28664.196
2025-08-31 12:30:17 UTC,2000,2000,35.722
2025-08-31 20:24:37 UTC,40000,38325,27271.199
2025-09-01 10:01:37 UTC,2000,1000,17.468
2025-09-01 10:06:45 UTC,100000,20,8.914
2025-09-01 10:12:02 UTC,300000,20,46.069
2025-09-01 10:41:59 UTC,1000,7000,83.331
2025-09-01 12:02:36 UTC,1000,7000,62.959
2025-09-01 13:17:03 UTC,1000,7000,154.334
2025-09-01 13:49:47 UTC,50000,100,123.019
2025-09-01 13:59:21 UTC,50000,100,78.586
2025-09-01 14:10:01 UTC,30000,1000,374.537
2025-09-01 14:26:24 UTC,5000,1000,105.149
2025-09-01 16:26:53 UTC,2000,5000,128.075
2025-09-01 17:09:07 UTC,2000,5000,48.655
2025-09-01 17:14:00 UTC,2000,5000,41.282
2025-09-01 17:31:04 UTC,2000,5000,48.331
2025-09-01 17:41:56 UTC,2000,5000,102.346
2025-09-01 21:27:24 UTC,40000,38325,12987.750
2025-09-02 09:17:54 UTC,1000,38000,695.216
2025-09-02 10:46:29 UTC,2000,10000,147.219
2025-09-02 10:58:36 UTC,2000,10000,137.054
2025-09-02 13:18:21 UTC,5000,38325,3429.957
2025-09-02 14:50:35 UTC,2000,5000,806.046
2025-09-02 15:14:47 UTC,2000,5000,48.198
2025-09-02 16:41:39 UTC,3000,38325,5091.776
2025-09-02 23:29:28 UTC,40000,38325,21261.806
2025-09-04 12:51:28 UTC,2000,10000,116.028
2025-09-04 13:44:43 UTC,2000,10000,281.365
2025-09-04 13:58:11 UTC,500,30000,184.003
2025-09-04 14:19:20 UTC,500,30000,268.847
2025-09-04 22:16:46 UTC,50000,35000,17042.245
2025-09-05 11:13:56 UTC,2000,10000,107.175
2025-09-05 11:41:09 UTC,100000,300,171.944
2025-09-05 12:08:07 UTC,300000,300,275.378
2025-09-05 12:52:11 UTC,3000,10000,435.231
2025-09-05 13:51:06 UTC,5000,10000,411.235
2025-09-05 15:31:02 UTC,10000,35000,3980.921
2025-09-06 01:57:55 UTC,100000,35000,28795.907
2025-09-06 12:08:04 UTC,500,10000,41.493
2025-09-06 13:04:15 UTC,3000,35000,1850.675
2025-09-06 16:30:26 UTC,10000,35000,5601.716
2025-09-06 16:35:28 UTC,1000,3000,17.314
2025-09-06 16:53:00 UTC,5000,1000,19.907
2025-09-06 17:03:51 UTC,3000,10000,414.701
2025-09-07 09:56:20 UTC,200000,35000,59834.305
2025-09-07 10:28:50 UTC,100000,300,246.785
2025-09-07 10:40:41 UTC,100000,300,97.145
2025-09-07 11:01:52 UTC,300000,200,207.942
2025-09-08 01:38:39 UTC,100000,35000,39139.411
2025-09-08 08:07:16 UTC,3000,32000,1486.762
2025-09-08 10:18:09 UTC,10000,32000,4429.159
2025-09-08 11:56:36 UTC,1000,32000,574.397
2025-09-08 12:30:56 UTC,3000,16000,515.307
2025-09-08 12:49:07 UTC,3000,16000,433.499
2025-09-08 12:57:15 UTC,2000,10000,150.487
2025-09-08 13:05:45 UTC,2000,4000,42.489
2025-09-08 13:16:49 UTC,2000,4000,55.658
2025-09-08 13:22:26 UTC,2000,4000,49.413
2025-09-08 13:29:20 UTC,2000,4000,44.229
2025-09-08 13:35:45 UTC,2000,10000,139.344
2025-09-09 09:31:25 UTC,100000,38325,40807.197
2025-09-09 11:00:18 UTC,3000,30000,1455.620
2025-09-09 13:34:54 UTC,3000,30000,1343.969
2025-09-09 14:41:24 UTC,5000,30000,2200.676
2025-09-10 06:40:14 UTC,5000,35000,2895.079
2025-09-10 08:21:26 UTC,1000,15000,132.306
2025-09-10 09:04:13 UTC,1000,15000,284.814
2025-09-10 09:19:14 UTC,1000,15000,370.607
2025-09-10 09:58:50 UTC,1000,15000,288.628
2025-09-10 10:29:59 UTC,1000,15000,287.066
2025-09-10 11:06:59 UTC,2000,15000,515.741
2025-09-10 11:29:39 UTC,2000,15000,555.302
2025-09-10 11:51:25 UTC,2000,10000,357.619
2025-09-10 12:06:09 UTC,2000,10000,260.948
2025-09-10 12:26:53 UTC,500,10000,127.679
2025-09-10 15:30:28 UTC,500,10000,128.645
2025-09-10 16:31:27 UTC,5000,4000,152.078
2025-09-10 17:05:26 UTC,300000,300,456.001
2025-09-10 17:24:11 UTC,30000,1000,115.393
2025-09-10 17:33:38 UTC,30000,1000,187.635
2025-09-11 03:07:23 UTC,100000,38325,33645.573
2025-09-11 10:08:03 UTC,20000,500,37.834
2025-09-11 10:10:44 UTC,20000,500,41.323
2025-09-11 10:15:40 UTC,20000,500,38.897
2025-09-11 16:30:44 UTC,1000,3000,44.325
2025-09-11 16:46:48 UTC,1000,3000,43.446
2025-09-11 16:51:00 UTC,1000,3000,41.213
2025-09-11 16:52:39 UTC,1000,3000,42.001
2025-09-11 16:56:29 UTC,1000,3000,43.058
2025-09-11 16:57:58 UTC,500,3000,36.448
2025-09-11 16:59:14 UTC,500,3000,41.912
