parameter,region,before,proposed,multiplier,change_percent,reason
demo_north_america_age_28000_32000,north_america,0.00109,0.00109,1,0,unchanged
demo_south_america_age_neg40000_neg36000,south_america,0.0107,0.0107,1,0,unchanged
demo_south_america_age_neg36000_neg32000,south_america,0.006165260494,0.006205468715,1.0065217391931988007902006419260311630881107097630,0.6521739193198800790200641926031163088110709763000,proportional redistribution
demo_south_america_age_neg32000_neg28000,south_america,0.006926705035,0.006971879198,1.0065217390912041341168499749751506489549832548918,0.6521739091204134116849974975150648954983254891800,proportional redistribution
demo_south_america_age_neg28000_neg24000,south_america,0.00823363396,0.008287331573,1.0065217391568376206998640974318950656873748125670,0.6521739156837620699864097431895065687374812567000,proportional redistribution
demo_south_america_age_neg24000_neg20000,south_america,0.007283119662,0.007330618268,1.0065217390629768290631169366059497266021990014641,0.6521739062976829063116936605949726602199001464100,proportional redistribution
demo_south_america_age_neg20000_neg16000,south_america,0.006144249206,0.006184320396,1.0065217390533036266953785402824691352533658935057,0.6521739053303626695378540282469135253365893505700,proportional redistribution
demo_south_america_age_neg16000_neg12000,south_america,0.005319657549,0.005354350968,1.0065217391684398442468237159827748152665907630213,0.6521739168439844246823715982774815266590763021300,proportional redistribution
demo_south_america_age_neg12000_neg8000,south_america,0.005356282871,0.005391215151,1.0065217392063310242600516308691419744101113960753,0.6521739206331024260051630869141974410111396075300,proportional redistribution
demo_south_america_age_neg8000_neg4000,south_america,0.003791091223,0.003815815731,1.0065217391367424766396870213217763027170501826777,0.6521739136742476639687021321776302717050182677700,proportional redistribution
demo_south_america_age_neg4000_0,south_america,0.00214,0.0018190,0.85,-15.00,older-cohort reduction
demo_south_america_age_0_4000,south_america,0.00214,0.00214,1,0,unchanged
demo_south_america_age_4000_8000,south_america,0.00214,0.00214,1,0,unchanged
demo_south_america_age_8000_12000,south_america,0.00107,0.00107,1,0,unchanged
demo_south_america_age_12000_16000,south_america,0.00107,0.00107,1,0,unchanged
demo_south_america_age_16000_20000,south_america,0.00107,0.00107,1,0,unchanged
demo_south_america_age_20000_24000,south_america,0.00107,0.00107,1,0,unchanged
demo_south_america_age_24000_28000,south_america,0.00107,0.00107,1,0,unchanged
demo_south_america_age_28000_32000,south_america,0.00107,0.00107,1,0,unchanged
demo_oceania_age_neg40000_neg36000,oceania,0.00088,0.00088,1,0,unchanged
demo_oceania_age_neg36000_neg32000,oceania,0.000691816416,0.000696533346,1.0068181816604941620812883399401727986749594562960,0.6818181660494162081288339940172798674959456296000,proportional redistribution
demo_oceania_age_neg32000_neg28000,oceania,0.000701919921,0.000706705739,1.0068181823265278148445654386834249714932937485329,0.6818182326527814844565438683424971493293748532900,proportional redistribution
demo_oceania_age_neg28000_neg24000,oceania,0.000655247416,0.000659715012,1.0068181817904337985210765028030266967126811225761,0.6818181790433798521076502803026696712681122576100,proportional redistribution
